"TRIP_ID","LATITUDE","LONGITUDE"
"T1","41.1502","-8.589"
"T2","41.161825","-8.60766666666667"
"T3","41.15995","-8.589"
"T4","41.1367","-8.613"
"T5","41.148036","-8.619894"
"T6","41.1772","-8.655"
"T7","41.1502","-8.589"
"T8","41.1817","-8.595"
"T9","41.1256","-8.6026"
"T10","41.1770235294118","-8.64594117647059"
"T11","41.1593285714286","-8.64728571428571"
"T12","41.1502","-8.589"
"T13","41.158296","-8.584335"
"T14","41.2397294117647","-8.67237254901961"
"T15","41.1448818181818","-8.61190909090909"
"T16","41.2006350649351","-8.6602987012987"
"T17","41.1547","-8.627"
"T18","41.1454954545455","-8.61018181818182"
"T19","41.1572714285714","-8.589"
"T20","41.1592","-8.649"
"T21","41.1502","-8.589"
"T22","41.1277","-8.613"
"T23","41.1592","-8.631"
"T24","41.148513","-8.585658"
"T25","41.1547","-8.649"
"T26","41.1697","-8.607"
"T27","41.162679","-8.593488"
"T28","41.149098","-8.587017"
"T29","41.1458363636364","-8.61354545454545"
"T30","41.15995","-8.589"
"T31","41.1592","-8.589"
"T32","41.1496","-8.607"
"T33","41.1587","-8.63016666666667"
"T34","41.174568","-8.567478"
"T35","41.1367","-8.60656363636364"
"T36","41.1613785714286","-8.6064380952381"
"T37","41.19025","-8.69215"
"T38","41.1583","-8.6298"
"T39","41.1502","-8.589"
"T40","41.1367","-8.613"
"T41","41.1762181818182","-8.59838181818182"
"T42","41.1592","-8.649"
"T43","41.145825","-8.61133333333333"
"T44","41.1755681318681","-8.61089010989011"
"T45","41.1517","-8.623"
"T46","41.1502","-8.589"
"T47","41.1469857142857","-8.619"
"T48","41.1592","-8.631"
"T49","41.17195","-8.556"
"T50","41.1527961538462","-8.62792307692308"
"T51","41.1461714285714","-8.60642857142857"
"T52","41.1421","-8.6076"
"T53","41.1637","-8.607"
"T54","41.1611","-8.61166666666667"
"T55","41.16145","-8.5965"
"T56","41.15695","-8.6088"
"T57","41.17645","-8.61318181818182"
"T58","41.1592","-8.6328"
"T59","41.2281032258064","-8.67142580645161"
"T60","41.1622","-8.608"
"T61","41.1502","-8.589"
"T62","41.1502","-8.589"
"T63","41.1583","-8.643"
"T64","41.19925","-8.6184"
"T65","41.13445","-8.5968"
"T66","41.1723538461538","-8.61168131868132"
"T67","41.1487","-8.595"
"T68","41.1592","-8.6292"
"T69","41.137825","-8.6095"
"T70","41.1592","-8.631"
"T71","41.1772","-8.607"
"T72","41.2997661538462","-8.70386769230769"
"T73","41.1502","-8.589"
"T74","41.1626705882353","-8.5748431372549"
"T75","41.15935","-8.6312"
"T76","41.1772","-8.655"
"T77","41.146002","-8.611866"
"T78","41.1458607142857","-8.62071428571429"
"T79","41.1817","-8.595"
"T80","41.1628842105263","-8.65391228070175"
"T81","41.1574321428571","-8.62842857142857"
"T82","41.1592","-8.631"
"T83","41.1592","-8.63983636363636"
"T84","41.1762064935065","-8.59045454545455"
"T85","41.1457","-8.619"
"T86","41.1511","-8.589"
"T87","41.2008","-8.64926666666667"
"T88","41.153575","-8.589"
"T90","41.1529321428571","-8.62542857142857"
"T91","41.1604","-8.6338"
"T92","41.2370125","-8.6689"
"T93","41.1592","-8.6378"
"T94","41.1469857142857","-8.63271428571429"
"T95","41.153355","-8.606394"
"T96","41.1502","-8.607"
"T98","41.2015054435484","-8.65232661290323"
"T99","41.1457","-8.619"
"T100","41.1776285714286","-8.659"
"T101","41.14795","-8.6118"
"T102","41.14165","-8.6112"
"T103","41.1593714285714","-8.63465714285714"
"T104","41.1817","-8.595"
"T107","41.1532","-8.603"
"T109","41.1592","-8.607"
"T110","41.1502","-8.619"
"T111","41.1592","-8.649"
"T112","41.1502","-8.601"
"T113","41.1721857142857","-8.59191428571429"
"T114","41.2402","-8.673"
"T115","41.1279142857143","-8.623"
"T116","41.2402","-8.673"
"T117","41.2160928571429","-8.56585714285714"
"T118","41.1817","-8.607"
"T119","41.16955","-8.6178"
"T120","41.1655","-8.6028"
"T121","41.1457","-8.592"
"T122","41.1671714285714","-8.63562857142857"
"T123","41.1606823529412","-8.61977647058823"
"T124","41.1692909090909","-8.63272727272727"
"T125","41.1457","-8.619"
"T126","41.1592","-8.64964285714286"
"T127","41.155686","-8.652393"
"T128","41.168574","-8.600661"
"T129","41.165208","-8.632197"
"T130","41.1579142857143","-8.62928571428571"
"T131","41.1765616383616","-8.49072227772228"
"T132","41.1502","-8.619"
"T133","41.1519678571428","-8.62457142857143"
"T134","41.1775461538462","-8.65842857142857"
"T135","41.1583","-8.61"
"T136","41.1457","-8.613"
"T137","41.1555181818182","-8.62816363636364"
"T138","41.1232","-8.601"
"T139","41.1817","-8.595"
"T140","41.1817","-8.595"
"T141","41.1232","-8.601"
"T142","41.14615","-8.6082"
"T143","41.1592","-8.631"
"T144","41.1510035714286","-8.61942857142857"
"T145","41.1552","-8.58926666666667"
"T146","41.1592","-8.649"
"T147","41.1427","-8.609"
"T148","41.1816473684211","-8.59380701754386"
"T149","41.1972571428571","-8.61731428571429"
"T151","41.15335","-8.6214"
"T152","41.13805","-8.6274"
"T153","41.1772","-8.655"
"T154","41.1637","-8.6074"
"T155","41.1784857142857","-8.64128571428571"
"T156","41.1575125","-8.63265"
"T157","41.1502","-8.589"
"T158","41.1502","-8.619"
"T159","41.1457","-8.619"
"T160","41.1772","-8.673"
